nome,cpf,idade,data,endereco,estado
João Miguel Moura,371.528.490-05,129,,"praça de costela, 38
renascença
34606-474 da mota / ms",RORAIMA
Ana Júlia Cardoso,096.825.473-00,106,,"praia da mata, 88
vila piratininga venda nova
49395-768 barbosa / rj",BAHIA
Stella Rodrigues,870.629.354-92,126,,"loteamento maria alice costela, 63
santa maria
89945979 lopes / es",TOCANTINS
Ana Beatriz Teixeira,243.675.018-17,108,,"viaduto ferreira, 22
goiania
03047145 teixeira do galho / pe",PIAUÍ
Beatriz Nunes,483.651.072-44,129,,"praça das neves, 274
são jorge 3ª seção
04812917 moraes / sc",RIO GRANDE DO SUL
Raquel Campos,213.869.074-13,124,,"estação ana lívia farias, 3
vila santa rosa
29209623 da cunha do sul / go",SERGIPE
Alícia Nascimento,578.310.692-59,111,,"aeroporto alícia vieira, 84
comiteco
22332319 costela / to",RONDÔNIA
Maria Julia Vieira,495.821.760-67,119,,"vale oliveira, 15
gameleira
25736494 martins / pr",MATO GROSSO
Julia Das Neves,201.495.378-32,122,,"praça maria sophia da cunha, 71
vila batik
49888-794 porto paulista / pi",PERNAMBUCO
Kamilly Rezende,470.598.623-74,140,,"setor de pires, 39
conjunto jatoba
35413804 silveira / ro",MINAS GERAIS
