nome,cpf,idade,data,endereco,bairro,estado
João Miguel Moura,371.***.***-05,,,"praça de costela, 38",renascença,MS
Ana Júlia Cardoso,096.***.***-00,,,"praia da mata, 88",vila piratininga venda nova,RJ
Stella Rodrigues,870.***.***-92,,,"loteamento maria alice costela, 63",santa maria,ES
Ana Beatriz Teixeira,243.***.***-17,,,"viaduto ferreira, 22",goiania,PE
Beatriz Nunes,483.***.***-44,,,"praça das neves, 274",são jorge 3ª seção,SC
Raquel Campos,213.***.***-13,,,"estação ana lívia farias, 3",vila santa rosa,GO
Alícia Nascimento,578.***.***-59,,,"aeroporto alícia vieira, 84",comiteco,TO
Maria Julia Vieira,495.***.***-67,,,"vale oliveira, 15",gameleira,PR
Julia Das Neves,201.***.***-32,,,"praça maria sophia da cunha, 71",vila batik,PI
Kamilly Rezende,470.***.***-74,,,"setor de pires, 39",conjunto jatoba,Desconhecido
